hjd,phase,baseline_flux,model_flux,model_normalized_flux
2455153.9163118321,-0.0136635240,1.0010460780,0.9942073202,0.9931683886
2455153.9163481141,-0.0136503621,1.0010445690,0.9941883801,0.9931509654
2455153.9163843966,-0.0136372001,1.0010430600,0.9941694565,0.9931335586
2455153.9164206786,-0.0136240382,1.0010415510,0.9941505499,0.9931161688
2455153.9164569611,-0.0136108762,1.0010400419,0.9941316601,0.9930987957
2455153.9164932431,-0.0135977143,1.0010385329,0.9941127876,0.9930814398
2455153.9165295255,-0.0135845523,1.0010370239,0.9940939322,0.9930641010
2455153.9165658075,-0.0135713904,1.0010355149,0.9940750944,0.9930467796
2455153.9166020900,-0.0135582284,1.0010340059,0.9940562738,0.9930294755
2455153.9166383720,-0.0135450665,1.0010324969,0.9940374712,0.9930121892
2455153.9166746545,-0.0135319045,1.0010309879,0.9940186862,0.9929949205
2455153.9167109365,-0.0135187426,1.0010294788,0.9939999193,0.9929776698
2455153.9167472189,-0.0135055806,1.0010279698,0.9939811702,0.9929604369
2455153.9167835009,-0.0134924187,1.0010264608,0.9939624396,0.9929432223
2455153.9168197834,-0.0134792567,1.0010249518,0.9939437271,0.9929260258
2455153.9168560654,-0.0134660948,1.0010234428,0.9939250334,0.9929088480
2455153.9168923479,-0.0134529328,1.0010219338,0.9939063580,0.9928916884
2455153.9169286299,-0.0134397709,1.0010204248,0.9938877015,0.9928745478
2455153.9169649123,-0.0134266089,1.0010189157,0.9938690638,0.9928574257
2455153.9170011943,-0.0134134470,1.0010174067,0.9938504453,0.9928403228
2455153.9170374768,-0.0134002850,1.0010158977,0.9938318457,0.9928232388
2455153.9170737588,-0.0133871231,1.0010143887,0.9938132656,0.9928061743
2455153.9171100412,-0.0133739611,1.0010128797,0.9937947047,0.9927891288
2455153.9171463232,-0.0133607992,1.0010113707,0.9937761637,0.9927721031
2455153.9171826057,-0.0133476372,1.0010098616,0.9937576420,0.9927550967
2455153.9172188877,-0.0133344753,1.0010083526,0.9937391405,0.9927381104
2455153.9172551702,-0.0133213133,1.0010068436,0.9937206586,0.9927211437
2455153.9172914522,-0.0133081514,1.0010053346,0.9937021971,0.9927041973
2455153.9173277346,-0.0132949894,1.0010038256,0.9936837556,0.9926872708
2455153.9173640166,-0.0132818275,1.0010023166,0.9936653348,0.9926703648
2455153.9174002991,-0.0132686655,1.0010008075,0.9936469341,0.9926534790
2455153.9174365811,-0.0132555036,1.0009992985,0.9936285544,0.9926366141
2455153.9174728636,-0.0132423416,1.0009977895,0.9936101951,0.9926197695
2455153.9175091456,-0.0132291797,1.0009962805,0.9935918570,0.9926029461
2455153.9175454280,-0.0132160177,1.0009947715,0.9935735398,0.9925861434
2455153.9175817100,-0.0132028558,1.0009932625,0.9935552439,0.9925693620
2455153.9176179925,-0.0131896938,1.0009917534,0.9935369691,0.9925526016
2455153.9176542745,-0.0131765319,1.0009902444,0.9935187159,0.9925358628
2455153.9176905570,-0.0131633699,1.0009887354,0.9935004841,0.9925191453
2455153.9177268390,-0.0131502080,1.0009872264,0.9934822743,0.9925024497
2455153.9177631214,-0.0131370460,1.0009857174,0.9934640860,0.9924857756
2455153.9177994034,-0.0131238841,1.0009842084,0.9934459200,0.9924691236
2455153.9178356859,-0.0131107221,1.0009826993,0.9934277758,0.9924524934
2455153.9178719679,-0.0130975602,1.0009811903,0.9934096541,0.9924358856
2455153.9179082499,-0.0130843984,1.0009796813,0.9933915548,0.9924193001
2455153.9179445324,-0.0130712363,1.0009781723,0.9933734778,0.9924027369
2455153.9179808144,-0.0130580745,1.0009766633,0.9933554236,0.9923861964
2455153.9180170968,-0.0130449124,1.0009751543,0.9933373920,0.9923696784
2455153.9180533788,-0.0130317506,1.0009736453,0.9933193835,0.9923531835
2455153.9180896613,-0.0130185885,1.0009721362,0.9933013978,0.9923367113
2455153.9181259433,-0.0130054267,1.0009706272,0.9932834355,0.9923202624
2455153.9181622257,-0.0129922646,1.0009691182,0.9932654963,0.9923038366
2455153.9181985077,-0.0129791028,1.0009676092,0.9932475808,0.9922874343
2455153.9182347902,-0.0129659407,1.0009661002,0.9932296886,0.9922710554
2455153.9182710722,-0.0129527789,1.0009645912,0.9932118204,0.9922547002
2455153.9183073547,-0.0129396168,1.0009630821,0.9931939757,0.9922383687
2455153.9183436367,-0.0129264550,1.0009615731,0.9931761553,0.9922220612
2455153.9183799191,-0.0129132929,1.0009600641,0.9931583587,0.9922057776
2455153.9184162011,-0.0129001311,1.0009585551,0.9931405867,0.9921895183
2455153.9184524836,-0.0128869690,1.0009570461,0.9931228387,0.9921732832
2455153.9184887656,-0.0128738072,1.0009555371,0.9931051155,0.9921570727
2455153.9185250481,-0.0128606451,1.0009540280,0.9930874167,0.9921408865
2455153.9185613301,-0.0128474833,1.0009525190,0.9930697430,0.9921247253
2455153.9185976125,-0.0128343212,1.0009510100,0.9930520939,0.9921085887
2455153.9186338945,-0.0128211594,1.0009495010,0.9930344700,0.9920924772
2455153.9186701770,-0.0128079973,1.0009479920,0.9930168711,0.9920763907
2455153.9187064590,-0.0127948355,1.0009464830,0.9929992978,0.9920603296
2455153.9187427415,-0.0127816734,1.0009449740,0.9929817496,0.9920442936
2455153.9187790235,-0.0127685116,1.0009434649,0.9929642273,0.9920282834
2455153.9188153059,-0.0127553495,1.0009419559,0.9929467304,0.9920122986
2455153.9188515879,-0.0127421877,1.0009404469,0.9929292596,0.9919963397
2455153.9188878704,-0.0127290256,1.0009389379,0.9929118146,0.9919804066
2455153.9189241524,-0.0127158638,1.0009374289,0.9928943959,0.9919644997
2455153.9189604349,-0.0127027017,1.0009359199,0.9928770032,0.9919486188
2455153.9189967168,-0.0126895399,1.0009344108,0.9928596371,0.9919327644
2455153.9190329993,-0.0126763778,1.0009329018,0.9928422973,0.9919169362
2455153.9190692813,-0.0126632160,1.0009313928,0.9928249844,0.9919011348
2455153.9191055638,-0.0126500539,1.0009298838,0.9928076980,0.9918853599
2455153.9191418458,-0.0126368921,1.0009283748,0.9927904387,0.9918696120
2455153.9191781282,-0.0126237300,1.0009268658,0.9927732063,0.9918538909
2455153.9192144102,-0.0126105682,1.0009253568,0.9927560013,0.9918381971
2455153.9192506927,-0.0125974061,1.0009238477,0.9927388234,0.9918225304
2455153.9192869747,-0.0125842443,1.0009223387,0.9927216731,0.9918068912
2455153.9193232572,-0.0125710822,1.0009208297,0.9927045502,0.9917912794
2455153.9193595392,-0.0125579204,1.0009193207,0.9926874553,0.9917756954
2455153.9193958216,-0.0125447583,1.0009178117,0.9926703880,0.9917601389
2455153.9194321036,-0.0125315965,1.0009163027,0.9926533488,0.9917446106
2455153.9194683861,-0.0125184344,1.0009147936,0.9926363376,0.9917291102
2455153.9195046681,-0.0125052726,1.0009132846,0.9926193549,0.9917136381
2455153.9195409506,-0.0124921105,1.0009117756,0.9926024003,0.9916981941
2455153.9195772326,-0.0124789487,1.0009102666,0.9925854745,0.9916827788
2455153.9196135150,-0.0124657866,1.0009087576,0.9925685772,0.9916673919
2455153.9196497970,-0.0124526247,1.0009072486,0.9925517088,0.9916520339
2455153.9196860790,-0.0124394629,1.0009057396,0.9925348694,0.9916367048
2455153.9197223615,-0.0124263008,1.0009042305,0.9925180588,0.9916214045
2455153.9197586435,-0.0124131390,1.0009027215,0.9925012777,0.9916061335
2455153.9197949260,-0.0123999769,1.0009012125,0.9924845257,0.9915908916
2455153.9198312080,-0.0123868151,1.0008997035,0.9924678034,0.9915756793
2455153.9198674904,-0.0123736530,1.0008981945,0.9924511105,0.9915604963
2455153.9199037724,-0.0123604912,1.0008966855,0.9924344475,0.9915453432
2455153.9199400549,-0.0123473291,1.0008951764,0.9924178142,0.9915302197
2455153.9199763369,-0.0123341673,1.0008936674,0.9924012112,0.9915151264
2455153.9200126193,-0.0123210052,1.0008921584,0.9923846381,0.9915000630
2455153.9200489013,-0.0123078434,1.0008906494,0.9923680955,0.9914850300
2455153.9200851838,-0.0122946813,1.0008891404,0.9923515832,0.9914700272
2455153.9201214658,-0.0122815195,1.0008876314,0.9923351017,0.9914550551
2455153.9201577483,-0.0122683574,1.0008861223,0.9923186506,0.9914401134
2455153.9201940303,-0.0122551956,1.0008846133,0.9923022306,0.9914252027
2455153.9202303127,-0.0122420335,1.0008831043,0.9922858414,0.9914103227
2455153.9202665947,-0.0122288717,1.0008815953,0.9922694836,0.9913954740
2455153.9203028772,-0.0122157096,1.0008800863,0.9922531568,0.9913806563
2455153.9203391592,-0.0122025478,1.0008785773,0.9922368616,0.9913658701
2455153.9203754417,-0.0121893857,1.0008770682,0.9922205977,0.9913511152
2455153.9204117237,-0.0121762239,1.0008755592,0.9922043658,0.9913363921
2455153.9204480061,-0.0121630618,1.0008740502,0.9921881655,0.9913217005
2455153.9204842881,-0.0121499000,1.0008725412,0.9921719973,0.9913070411
2455153.9205205706,-0.0121367379,1.0008710322,0.9921558611,0.9912924135
2455153.9205568526,-0.0121235761,1.0008695232,0.9921397573,0.9912778183
2455153.9205931351,-0.0121104140,1.0008680141,0.9921236857,0.9912632552
2455153.9206294171,-0.0120972522,1.0008665051,0.9921076468,0.9912487247
2455153.9206656995,-0.0120840901,1.0008649961,0.9920916405,0.9912342267
2455153.9207019815,-0.0120709283,1.0008634871,0.9920756671,0.9912197616
2455153.9207382640,-0.0120577662,1.0008619781,0.9920597265,0.9912053292
2455153.9207745460,-0.0120446044,1.0008604691,0.9920438192,0.9911909300
2455153.9208108285,-0.0120314423,1.0008589600,0.9920279449,0.9911765639
2455153.9208471105,-0.0120182805,1.0008574510,0.9920121043,0.9911622312
2455153.9208833929,-0.0120051184,1.0008559420,0.9919962970,0.9911479318
2455153.9209196749,-0.0119919566,1.0008544330,0.9919805235,0.9911336662
2455153.9209559574,-0.0119787945,1.0008529240,0.9919647837,0.9911194342
2455153.9209922394,-0.0119656327,1.0008514150,0.9919490781,0.9911052362
2455153.9210285218,-0.0119524706,1.0008499060,0.9919334063,0.9910910721
2455153.9210648038,-0.0119393088,1.0008483969,0.9919177691,0.9910769424
2455153.9211010863,-0.0119261467,1.0008468879,0.9919021660,0.9910628469
2455153.9211373683,-0.0119129849,1.0008453789,0.9918865977,0.9910487860
2455153.9211736508,-0.0118998228,1.0008438699,0.9918710639,0.9910347596
2455153.9212099328,-0.0118866610,1.0008423609,0.9918555652,0.9910207681
2455153.9212462152,-0.0118734989,1.0008408519,0.9918401013,0.9910068114
2455153.9212824972,-0.0118603371,1.0008393428,0.9918246727,0.9909928899
2455153.9213187797,-0.0118471750,1.0008378338,0.9918092792,0.9909790035
2455153.9213550617,-0.0118340132,1.0008363248,0.9917939214,0.9909651526
2455153.9213913442,-0.0118208511,1.0008348158,0.9917785990,0.9909513372
2455153.9214276262,-0.0118076893,1.0008333068,0.9917633125,0.9909375575
2455153.9214639086,-0.0117945272,1.0008317978,0.9917480617,0.9909238135
2455153.9215001906,-0.0117813654,1.0008302888,0.9917328472,0.9909101057
2455153.9215364726,-0.0117682035,1.0008287797,0.9917176689,0.9908964340
2455153.9215727551,-0.0117550415,1.0008272707,0.9917025268,0.9908827985
2455153.9216090371,-0.0117418796,1.0008257617,0.9916874214,0.9908691996
2455153.9216453196,-0.0117287176,1.0008242527,0.9916723525,0.9908556370
2455153.9216816016,-0.0117155557,1.0008227437,0.9916573206,0.9908421115
2455153.9217178840,-0.0117023937,1.0008212347,0.9916423255,0.9908286226
2455153.9217541660,-0.0116892318,1.0008197256,0.9916273677,0.9908151711
